STAR,COURSE,PRE,LAST4,NAME,EMAIL,HRS,INSTRUCTIONS,PRIVACY,TALLY
98524,CS   400G 001,,1234,ASTUDENT MICHAEL A,MA-Astudent@wiu.edu,3,,,
98524,CS   400G 001,,5678,BSTUDENT ROBERT PAUL,RP-Bstudent@wiu.edu,3,,,
98524,CS   400G 001,**,9012,CSTUDENT THOMAS D,TD-Cstudent@wiu.edu,3,,,
98524,CS   400G 001,,,,,57,,,19
98524,CS   400G 001,,,,,57,,,19
STAR,COURSE,PRE,LAST4,NAME,EMAIL,HRS,INSTRUCTIONS,PRIVACY,TALLY
98525,CS   410G 001,,3456,AASTUDENT REDDY JOHN,RJ-AAstudent@wiu.edu,3,GRAD CR,,
98525,CS   410G 001,,7890,BBSTUDENT PETER H,PH-BBstudent@wiu.edu,3,GRAD CR,,
98525,CS   410G 001,,9012,CSTUDENT THOMAS D,TD-Cstudent@wiu.edu,3,GRAD CR,,
98525,CS   410G 001,*,9876,GSTUDENT ZIMBRA,Z-Gstudent@wiu.edu,3,,,
98525,CS   410G 001,,5432,GGSTUDENT RAMA SINDHU,RS-GGstudent@wiu.edu,3,GRAD CR,,
98525,CS   410G 001,,,,,111,,,37
98525,CS   410G 001,,,,,111,,,37
STAR,COURSE,PRE,LAST4,NAME,EMAIL,HRS,INSTRUCTIONS,PRIVACY,TALLY
98526,CS   420G 001,,5678,BSTUDENT ROBERT PAUL,RP-Bstudent@wiu.edu,3,GRAD CR,,
98526,CS   420G 001,,1098,B3 THOMAS M,TM-B3@wiu.edu,3,,,
98526,CS   420G 001,,7654,B4LIST KEVIN,K-B4list@wiu.edu,3,GRAD CR,,
98526,CS   420G 001,,,,,84,,,28
98526,CS   420G 001,,,,,84,,,28
STAR,COURSE,PRE,LAST4,NAME,EMAIL,HRS,INSTRUCTIONS,PRIVACY,TALLY
16239,CS   420G 002,,3210,C3LIST AARON,A-C3list@wiu.edu,3,GRAD CR,,
16239,CS   420G 002,,1111,D4STUDENT JOHN E,JE-D4student@wiu.edu,3,GRAD CR,INVOKED,
16239,CS   420G 002,,2222,FLYER MICHAEL GARRETT,MG-Flyer@wiu.edu,3,,,
16239,CS   420G 002,,,,,54,,,18
16239,CS   420G 002,,,,,54,,,18
STAR,COURSE,PRE,LAST4,NAME,EMAIL,HRS,INSTRUCTIONS,PRIVACY,TALLY
98551,CS   599  001,,3333,BOSTON RICHARD,R-Boston@wiu.edu,3,GRAD CR,,
98551,CS   599  001,,4444,LARSON JACK E,JE-Larson@wiu.edu,3,GRAD CR,,
98551,CS   599  001,,,,,6,,,2
98551,CS   599  001,,,,,6,,,2
98551,CS   599  001,,,,,1533,,,511
98551,CS   599  001,,,,,1533,,,511
